id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17701106,32nd Ave Casa,120614686,Deanna,,Seacliff,37.78342478,-122.492879,Entire home/apt,98,1,12,6/9/2017,2.2,1,0
2134100,Ocean Beach hilltop cottage (30 day rental or more,10889606,Marty And Alexis,,Seacliff,37.78388809,-122.5085568,Entire home/apt,120,30,255,8/31/2017,5.69,1,348
19893526,Charming Private Room Steps from Ocean & Hiking,291880,Chris,,Seacliff,37.78017692,-122.5086041,Private room,74,1,8,10/1/2017,3.87,1,21
14252951,Cozy apartment in beautiful SF :),30270108,Safe,,Seacliff,37.78344216,-122.4925496,Entire home/apt,175,1,7,8/20/2017,0.5,1,0
7856443,The Real San Francisco #2,6076870,Todd And Tatyana,,Seacliff,37.78227777,-122.4927843,Entire home/apt,195,2,38,8/14/2017,2.25,2,9
16079346,Large Room Private Bath Edwardian in Ashbury Hts,50381482,Monette,,Haight Ashbury,37.76594461,-122.4462418,Private room,100,2,0,,,1,168
6289857,Former b&b in the heart of S.F.,23942099,Robert Stern &,,Haight Ashbury,37.76081178,-122.4471165,Private room,125,2,27,9/12/2017,0.93,5,348
9858310,One Bedroom for Rent in Quiet Neighborhood,50744275,Stephen,,Haight Ashbury,37.7695142,-122.4387244,Private room,105,2,5,9/16/2017,0.36,1,232
2736358,Garden Retreat steps from Haight St,8638224,Sara,,Haight Ashbury,37.76746465,-122.4448272,Entire home/apt,185,2,191,9/24/2017,4.62,1,255
10700645,Stunning 3BR 2BA w/ parking & deck,12965916,Israel,,Haight Ashbury,37.76948204,-122.4465096,Entire home/apt,380,3,37,1/26/2017,1.98,1,0
9473338,A Cole Valley cubby,49098311,Jill,,Haight Ashbury,37.7672171,-122.4501084,Private room,60,1,109,9/25/2017,5.35,1,187
10574350,LARGE Room in SF NEW Apartment,1821071,Ariel,,Haight Ashbury,37.76630984,-122.4516006,Private room,130,2,39,9/16/2017,2.02,2,349
7502595,Beautiful room in Haight Victorian,10487703,Siraj,,Haight Ashbury,37.77159191,-122.4456651,Private room,200,1,0,,,1,0
5762374,Private Room and Bath Near GG Park,22687150,Adam,,Haight Ashbury,37.76872761,-122.4515732,Private room,100,1,96,9/27/2017,3.27,1,60
3194383,Heart of Cole Valley/Ashbury Height,3186516,Kristin,,Haight Ashbury,37.76356536,-122.4511952,Private room,90,2,11,10/29/2015,0.29,1,0
13909131,First Floor Master Bedroom with Private Entrance,17939487,David,,Haight Ashbury,37.77044934,-122.4526376,Private room,50,3,7,7/4/2017,0.51,3,10
8473252,NOPA-Alamo Square Spot,482426,Mark,,Haight Ashbury,37.77432895,-122.4389409,Private room,200,5,0,,,1,0
459806,Cozy 1BR apt near Golden Gate Park,2286112,Joe,,Haight Ashbury,37.76457288,-122.4505395,Entire home/apt,190,6,50,9/22/2017,0.77,1,57
18160009,"Sunny Victorian, 1 Bedroom, 2 blocks from GG Park",4717811,Miles,,Haight Ashbury,37.76734387,-122.4488915,Entire home/apt,175,2,0,,,1,0
8371368,Studio in front Golden Gate Park,6109538,Jameson,,Haight Ashbury,37.77284986,-122.4471225,Private room,100,1,0,,,1,0
17343208,Private Room in Historic B&B - Redwood Forest,117141107,Amber,,Haight Ashbury,37.77037871,-122.449475,Private room,150,1,44,9/27/2017,6.14,11,35
91957,Sunny SF Flat with 5*s,495796,Joy,,Haight Ashbury,37.76193577,-122.4492861,Entire home/apt,300,3,83,9/15/2017,1.13,1,299
2738331,1 bdrm Haight Ashbury apt w/ garden,14011603,Flip,,Haight Ashbury,37.76917574,-122.4500037,Entire home/apt,169,3,102,9/6/2017,2.62,1,279
7717877,Sunny Room near Outside Lands Fest!,9909736,Joanna,,Haight Ashbury,37.77224745,-122.4499968,Private room,130,1,0,,,1,0
13864060,"Spacious, sunny room near Haight-Ashbury",5353594,Dennis,,Haight Ashbury,37.77367759,-122.4494324,Private room,64,15,6,1/25/2017,0.4,1,0
3133266,Luxe Modern Cole Valley Victorian ,837274,Tina,,Haight Ashbury,37.76875414,-122.4489017,Entire home/apt,600,5,51,9/1/2017,1.28,2,341
10563581,Superbowl: Private Master Suite,10829290,Kimber,,Haight Ashbury,37.77394374,-122.4481871,Private room,85,1,0,,,1,0
17433075,Private Room in Historic B&B - Rose Garden,117141107,Amber,,Haight Ashbury,37.77033057,-122.4505299,Private room,150,1,24,9/11/2017,4.29,11,82
24685,Castro/Haight San Francisco,100567,Alison,,Haight Ashbury,37.7716176,-122.438362,Private room,79,1,133,9/29/2017,1.52,1,335
5286047,Stylish NOPA Pad,1674453,Adam,,Haight Ashbury,37.77612045,-122.4404803,Entire home/apt,240,3,36,8/7/2017,1.15,1,6
6414298,Great Home 15 min to Union Square,33455389,Haley,,Haight Ashbury,37.76634512,-122.4504024,Entire home/apt,90,2,2,10/19/2015,0.08,1,0
18139835,Brand New Apartment in the Heart of NOPA!,33456614,Rob,,Haight Ashbury,37.77568327,-122.4453226,Entire home/apt,275,2,1,9/13/2017,1,1,151
1053945,Victorian Garden / City Living,5803665,Jacqui,,Haight Ashbury,37.77060059,-122.4507446,Entire home/apt,150,3,142,8/31/2017,2.66,1,300
8882531,"Beautiful, Bright & Spacious. Perfect Location!",2995531,Amichi,,Haight Ashbury,37.77546166,-122.4490477,Entire home/apt,230,3,18,8/14/2017,0.8,1,0
172943,Redwood Cottage on Ashbury Heights,825576,Stephan,,Haight Ashbury,37.76021727,-122.4494976,Entire home/apt,279,2,1,6/30/2017,0.32,1,365
2309140,The Lady Di,11792056,Chris,,Haight Ashbury,37.77523911,-122.43937,Entire home/apt,395,3,107,9/29/2017,2.47,1,147
16870932,"Magical ACCOMODATION of Comfort, Safety, Luxury",112435854,Richard,,Haight Ashbury,37.77105259,-122.4371145,Entire home/apt,225,3,10,8/13/2017,1.41,1,344
10052512,The Steve McQueen - New Kitchen,6433399,Christopher,,Haight Ashbury,37.77605437,-122.4413115,Entire home/apt,325,3,22,9/19/2017,1.1,1,285
10508881,"Modern, Spacious 3BR for Super Bowl",334714,Michael,,Haight Ashbury,37.77393124,-122.4539535,Entire home/apt,399,2,0,,,1,0
21026891,"Shared Room Historic B&B: Water Bunk, Peacock Room",117141107,Amber,,Haight Ashbury,37.76998802,-122.4493843,Shared room,60,1,2,10/1/2017,2,11,112
19985392,Victorian Flat in the Haight Ashbury,26822922,Chris,,Haight Ashbury,37.77014147,-122.4452109,Entire home/apt,450,4,4,9/28/2017,4,1,21
3939307,1 Bedroom Apt in Lower Haight,4731822,Desa,,Haight Ashbury,37.77092915,-122.4393398,Entire home/apt,175,3,9,11/15/2015,0.37,1,0
2179562,Studio in amazing neighborhood ,11116364,Amara,,Haight Ashbury,37.77397054,-122.4450297,Entire home/apt,193,1,0,,,1,0
2559297,Entire 2BR w/pkg centrally-located!,12707660,Rob,,Haight Ashbury,37.77506722,-122.4409392,Entire home/apt,235,2,25,9/23/2017,0.59,2,345
20873868,Remodeled Edwardian Flat in Haight-Ashbury,9296204,Joseph,,Haight Ashbury,37.77329952,-122.4474114,Private room,125,2,1,9/30/2017,1,1,25
3052906,Private room in Haight Ashubry,1864790,Igor,,Haight Ashbury,37.76747606,-122.4476771,Private room,100,1,10,8/24/2014,0.25,1,0
5685743,Edwardian 3BR/3BA Apartment,13697375,Peter,,Haight Ashbury,37.7659646,-122.4483103,Entire home/apt,465,2,3,9/15/2015,0.12,1,20
213532,Haight Ashbury Experience Room 4,1032643,Josh,,Haight Ashbury,37.77084767,-122.4481135,Private room,78,2,289,9/17/2017,3.93,6,339
6783618,"Beautiful Spot, BBQ patio & parking",5173902,Ryan,,Haight Ashbury,37.77482239,-122.4441687,Private room,100,14,0,,,1,0
14336685,Cozy Cole Valley apartment,24307156,Melanie,,Haight Ashbury,37.76730159,-122.4527533,Entire home/apt,160,2,12,9/4/2017,1.8,1,38
1344306,"Beautiful room, fantastic location!",1806128,Ryan,,Haight Ashbury,37.76820673,-122.4514978,Private room,89,2,30,3/13/2015,0.67,1,0
8192881,Modern Cole Valley studio,6387932,Meryl,,Haight Ashbury,37.76922397,-122.4469821,Entire home/apt,150,2,134,9/27/2017,5.41,1,1
3261455,Bright SF 1BR with Classic Detail,721036,Ali,,Haight Ashbury,37.77584491,-122.4399201,Entire home/apt,150,3,19,9/1/2017,0.89,1,22
15844494,Cozy Victorian Modern 1 bd in Cole Valley SF,102633197,James,,Haight Ashbury,37.76578162,-122.4506216,Entire home/apt,108,1,23,4/18/2017,2.16,1,0
19531013,One bedroom in gorgeous flat in Cole Valley,26383,Gregory,,Haight Ashbury,37.76772039,-122.4480881,Private room,300,1,4,8/17/2017,1.46,1,1
10126600,Huge Haight-Ashbury Master Bedroom!,975780,Adam,,Haight Ashbury,37.77011921,-122.4446386,Private room,96,5,0,,,3,0
10126716,4 bedroom Edwardian flat in NOPA!,9177164,Beth,,Haight Ashbury,37.77507593,-122.4439758,Entire home/apt,500,2,29,8/18/2017,1.44,4,21
149108,QUIET LUXURY COLE VALLEY PARKING,719538,Margaret,,Haight Ashbury,37.76100954,-122.4506867,Entire home/apt,300,2,2,7/26/2015,0.05,1,96
18237064,Cole Valley Comfort,67830390,Victoria,,Haight Ashbury,37.76804299,-122.449476,Private room,75,1,5,9/26/2017,3.06,3,11
10127022,Cozy room in Haight Victorian,975780,Adam,,Haight Ashbury,37.77038357,-122.4465727,Private room,77,4,1,12/23/2015,0.05,3,0
10733204,"Alamo Square, walk to everything SF",50333168,Ed,,Haight Ashbury,37.77555304,-122.4419381,Private room,75,1,91,9/30/2017,4.51,1,318
1148625,Private Room in Haight Victorian,6296873,Dennis,,Haight Ashbury,37.76738649,-122.4446685,Private room,105,4,197,9/25/2017,3.81,1,57
17696905,Private Room in Historic B&B - Golden Gate,117141107,Amber,,Haight Ashbury,37.76989597,-122.4507452,Private room,150,1,27,9/22/2017,4.55,11,61
18876764,Lovely Remodeled Single-Family Home,21087770,Charles,,Haight Ashbury,37.76730072,-122.4479507,Entire home/apt,214,3,0,,,1,0
10832295,Charming Family Friendly NOPA Flat,1745806,Andrew,,Haight Ashbury,37.77280943,-122.4520424,Entire home/apt,450,5,8,7/20/2017,0.51,1,0
8591098,San Francisco - Beautiful 1899 Home,12116341,Suzanne,,Haight Ashbury,37.77180199,-122.4440379,Entire home/apt,1000,3,0,,,1,274
5589500,"Top of the World, Rooftop Studio",28566498,Kathy,,Haight Ashbury,37.77131493,-122.4397638,Entire home/apt,175,3,23,8/1/2017,0.77,1,35
2272343,Gorgeous Large Victorian NOPA Home,11601787,Rob,,Haight Ashbury,37.77422489,-122.4462838,Entire home/apt,500,3,91,8/10/2017,2.06,1,144
17386464,Beautifully renovated 1 BR in NOPA,117528112,Francis,,Haight Ashbury,37.77153497,-122.4396347,Entire home/apt,275,2,16,9/14/2017,2.65,1,0
5196859,Haight Ashbury Edwardian condo: 1BD,249857,Carissa,,Haight Ashbury,37.77088155,-122.4495655,Private room,120,1,88,8/13/2017,2.71,2,75
4738295,Cole Valley Room with Queen Bed,16435443,Gunter,,Haight Ashbury,37.76645312,-122.4510885,Private room,100,2,10,9/24/2017,0.58,1,331
17405841,Clayton Street Manor,117683669,Saturn,,Haight Ashbury,37.77262349,-122.4484511,Private room,99,1,32,9/7/2017,4.36,1,0
16338618,Heart of the Haight // Private Bed + Bath,13526805,Milena,,Haight Ashbury,37.76951396,-122.4530087,Private room,105,2,20,9/10/2017,2.65,2,3
19861464,City Central & Cozy in Cole Valley Neighborhood,140442058,Sandy,,Haight Ashbury,37.76653188,-122.452637,Entire home/apt,175,2,8,9/13/2017,3.24,1,3
15134083,Luxury 2BR in Haight Ashbury Dist-Buena Vista Park,95958962,Marie,,Haight Ashbury,37.77169491,-122.4389965,Entire home/apt,349,30,20,8/19/2017,1.61,1,0
283235,Sunny and spacious 2BR in NoPA,909675,Juan,,Haight Ashbury,37.77505168,-122.4398975,Entire home/apt,199,4,6,1/11/2017,0.09,1,269
348714,Elegant Queen Ann Victorian,78610,George,,Haight Ashbury,37.77306533,-122.4429333,Entire home/apt,190,3,259,9/24/2017,3.89,1,134
9771911,Spacious 1 BR apt in Haight-Ashbury,50382812,Chris,,Haight Ashbury,37.76884412,-122.4485042,Entire home/apt,350,1,21,10/5/2016,1,1,359
8013423,Spacious 2/2 in Cole Valley/Haight Ashbury,5535854,Rachel,,Haight Ashbury,37.7663944,-122.4475209,Entire home/apt,235,2,3,8/23/2017,0.12,1,24
10720392,Family Friendly Home in The Haight,3227512,Kyla,,Haight Ashbury,37.7709907,-122.4479602,Entire home/apt,250,3,1,12/18/2016,0.07,1,274
1561827,Charming Nopa garden unit,2209484,Britt,,Haight Ashbury,37.77368,-122.4398828,Entire home/apt,156,5,5,8/15/2016,0.1,1,262
21134823,Modern Haight-Ashbury Victorian Home,837274,Tina,,Haight Ashbury,37.76755,-122.4483911,Entire home/apt,1250,5,0,,,2,332
19813728,Private Room in Grand Victorian!,40536296,Mustapha,,Haight Ashbury,37.77210803,-122.4403374,Private room,235,2,1,7/24/2017,0.42,3,345
13981030,Beautiful Room in the Haight!,76668568,Maximilian,,Haight Ashbury,37.77259746,-122.4540458,Private room,150,2,7,8/22/2017,0.48,1,76
8164773,Haight Studio,43094128,Humaira,,Haight Ashbury,37.77015668,-122.4480749,Entire home/apt,210,3,15,9/24/2017,0.64,1,295
17977925,Comfort and Class in Spacious Apartment,123485258,Joe,,Haight Ashbury,37.76953892,-122.4490663,Entire home/apt,375,2,26,9/15/2017,4.51,4,1
18837076,Ashbury Lodge,131187125,Cameron,,Haight Ashbury,37.76925645,-122.4475032,Private room,88,2,29,9/17/2017,6.54,1,0
19732293,Restored NOPA Townhouse with a Strong Community,2317858,Travis,,Haight Ashbury,37.77433438,-122.4425545,Private room,100,14,0,,,2,69
3757966,Cozy Quiet Gorgeous Cole Valley Apt,17088398,Margaret,,Haight Ashbury,37.76223407,-122.4496653,Entire home/apt,200,30,27,8/20/2017,0.7,1,328
4258894,Private Studio at a great price!,2578257,Joshua,,Haight Ashbury,37.76967808,-122.4482493,Entire home/apt,145,1,0,,,1,0
19416033,Private Bedroom in the Haight,1653267,April,,Haight Ashbury,37.76860259,-122.4442295,Private room,76,6,0,,,1,0
563887,"Cole Vly House, quiet street views",2772791,Bob,,Haight Ashbury,37.75988403,-122.4502721,Entire home/apt,350,5,12,8/11/2015,0.19,1,0
12655589,"Brand new, modern studio",1530424,Alex,,Haight Ashbury,37.77136766,-122.4384098,Entire home/apt,149,3,2,8/19/2016,0.12,1,0
8444947,The Best Spot In San Francisco,461851,Ryan,,Haight Ashbury,37.77176164,-122.4419121,Entire home/apt,349,2,42,9/4/2017,2.08,2,350
12917258,One Block to Haight Str Shops Bus Buena Vista Park,4035348,Nick,,Haight Ashbury,37.77096665,-122.4416199,Entire home/apt,118,30,25,12/5/2016,1.57,1,269
269463,Elegant Victorian Flat in Haight ,1244308,Lawrence,,Haight Ashbury,37.76710859,-122.4515122,Entire home/apt,192,2,91,9/14/2017,1.27,1,11
1273732,GORGEOUS TOP FLOOR STUDIO HAIGHT ST,6898073,Stefan,,Haight Ashbury,37.76886495,-122.451518,Entire home/apt,145,7,9,8/24/2017,0.18,1,335
6451098,3 rooms in ex-b&b in the ❤️ of S.F.,23942099,Robert Stern &,,Haight Ashbury,37.76090479,-122.4467282,Entire home/apt,350,2,8,8/10/2017,0.29,5,358
3563032,Sunny Victorian on Historic Haight,17939820,Katherine,,Haight Ashbury,37.77092231,-122.4374223,Private room,145,1,38,9/2/2017,0.98,1,36
10480018,Cozy and comfortable studio,24464994,Christina,,Haight Ashbury,37.76755439,-122.4452662,Entire home/apt,143,1,25,9/17/2017,1.22,1,3
2368017,"Room in Central SF, Lower Haight",11404205,Guillaume,,Haight Ashbury,37.77132696,-122.4394886,Private room,159,1,2,7/25/2017,0.08,1,0
20979534,NOPA private bedroom in a gorgeous Victorian Home,4276210,Varendra,,Haight Ashbury,37.77318338,-122.4414794,Private room,110,3,0,,,1,144
2066868,Peaceful Apartment in the Panhandle,5637635,Eileen,,Haight Ashbury,37.7733949,-122.4459532,Entire home/apt,250,2,0,,,1,0
21094458,A lovely room+private kitchen in a sunny apartment,4600275,Olya,,Haight Ashbury,37.77121376,-122.4445723,Private room,180,2,0,,,1,348
20553865,Awesome Pad on the Panhandle,2442220,Dan,,Haight Ashbury,37.77128501,-122.4436274,Entire home/apt,300,4,0,,,3,0
13066418,Delightful  remodeled Ashbury Hts 1 BR Apt,281509,Cary,,Haight Ashbury,37.766172,-122.4456594,Entire home/apt,159,30,15,9/20/2017,4.25,1,332
6290098,Apt. in ex-b&b in the ❤️ of S.F.,23942099,Robert Stern &,,Haight Ashbury,37.76219111,-122.4483494,Entire home/apt,300,2,30,8/22/2017,1.03,5,358
336133,Live Like a Local 1 Bedroom Flat,1658540,Trent,,Haight Ashbury,37.77290982,-122.4406954,Entire home/apt,108,2,83,7/25/2017,1.33,1,0
18063783,The King of Kings of the Haight Ashbury-SF!,124051180,Lana,,Haight Ashbury,37.76989238,-122.4428634,Entire home/apt,299,3,14,9/16/2017,2.43,1,154
17424816,Our Home in NoPa,147099,Carl,,Haight Ashbury,37.77223669,-122.4380674,Private room,150,2,34,9/19/2017,5,1,44
571042,3 BR Darling View Artists' Cottage Oasis in SF,1550529,Shannon,,Haight Ashbury,37.76810141,-122.4397246,Entire home/apt,599,4,4,10/17/2012,0.06,1,17
16535678,"Sunny, Contemporary One Bedroom Guest Suite",11331016,Catherine,,Haight Ashbury,37.76504349,-122.4485092,Entire home/apt,245,2,51,10/1/2017,5.82,1,47
20309567,3 bedrooms & private bath in Cole Valley Victorian,67830390,Victoria,,Haight Ashbury,37.76719885,-122.4495227,Entire home/apt,250,1,0,,,3,60
5807320,Charming one bedroom,24883822,Christine,,Haight Ashbury,37.77403331,-122.4446478,Entire home/apt,145,4,45,9/19/2017,1.52,1,309
3843704,Spacious room in center of the city,11158868,Andrew,,Haight Ashbury,37.77464892,-122.4495674,Private room,95,10,0,,,1,0
10413838,9BR Super Bowl Party Mansion,45102992,Stedman,,Haight Ashbury,37.77180947,-122.4496157,Entire home/apt,2500,1,0,,,2,0
1206184,In the Heart of Haight/Ashbury # 4,4677165,Ashirvadam,,Haight Ashbury,37.77112586,-122.4461646,Private room,89,1,189,9/15/2017,3.61,3,334
3861272,Cole Valley Gem 3 Bedrooms/2.5 Baths,5502762,Gerald,,Haight Ashbury,37.76440665,-122.4471925,Entire home/apt,425,3,18,8/14/2017,0.63,1,0
9251681,Entire Haight/Castro Apartment,370518,Brent,,Haight Ashbury,37.77103356,-122.4378188,Entire home/apt,169,3,10,9/6/2016,0.44,2,0
715754,Stunning Views Near Haight & Castro,3685746,Deb & Greg,,Haight Ashbury,37.76645818,-122.4432031,Entire home/apt,160,30,78,7/25/2017,1.31,2,365
2585167,Beautiful flat in SF,13236139,Mike & Shirley,,Haight Ashbury,37.77267633,-122.4396098,Entire home/apt,200,3,21,7/10/2017,0.55,2,0
3272181,Quiet condo in NOPA neighborhood,16545232,Bryan,,Haight Ashbury,37.77497861,-122.4486504,Entire home/apt,250,7,0,,,1,0
1633881,Exclusive Loft in Victorian House,484257,Jean-Michel,,Haight Ashbury,37.77067224,-122.4518165,Entire home/apt,300,4,8,1/1/2016,0.16,2,269
14200724,Luxury Apartment - great place in Centre City,8522604,Kim,,Haight Ashbury,37.77018318,-122.4377721,Private room,299,1,0,,,1,364
19165161,Private room in Haight Ashbury coop,133860992,Paul,,Haight Ashbury,37.77075711,-122.4445847,Private room,90,1,6,6/26/2017,1.58,1,0
3731481,"Big apt, amazing views, huge deck!",2458666,Alex,,Haight Ashbury,37.76887474,-122.4523251,Entire home/apt,425,2,7,9/25/2016,0.18,1,0
1332343,Bright Contemporary Urban Nest,465520,Saundra,,Haight Ashbury,37.76969508,-122.4361942,Private room,142,3,190,8/30/2017,3.68,3,321
6500567,"Large Private Room, Huge Windows",8283086,Jessica,,Haight Ashbury,37.77386629,-122.4492631,Private room,90,1,1,3/1/2016,0.05,1,0
8811090,3BR/2BA Cole Valley-public transit,13547554,Marie-Stephanie,,Haight Ashbury,37.76248601,-122.4500171,Entire home/apt,590,7,0,,,1,0
18871091,Bright upper flat in Panhandle,22923465,Basil,,Haight Ashbury,37.77522282,-122.4461959,Private room,100,3,5,7/27/2017,1.39,1,0
783149,Chic Modern Cole Valley Apartment ,4111317,Arnold & Amy,,Haight Ashbury,37.76712266,-122.4487075,Entire home/apt,250,3,136,8/14/2017,2.49,1,274
14594885,Designer luxury home at entry to Golden Gate Park,51008244,Richard,,Haight Ashbury,37.77271479,-122.4533741,Entire home/apt,200,2,33,9/12/2017,2.61,1,73
7901865,Spacious Cole Valley family home,41665252,Hayley,,Haight Ashbury,37.76487913,-122.4480452,Entire home/apt,475,7,2,6/25/2017,0.14,1,63
7763272,Haight Ashbury Castle,3116971,Missa,,Haight Ashbury,37.77066911,-122.4454241,Private room,90,3,0,,,1,0
15546103,Centrally Located Family Friendly Home,8303353,Heather,,Haight Ashbury,37.77006333,-122.445774,Entire home/apt,225,3,3,8/14/2017,1.5,1,32
15339049,ZEN HOME - with garage for parking,28407268,Rosellen,,Haight Ashbury,37.77182473,-122.4391468,Entire home/apt,350,7,25,8/4/2017,2.14,1,258
12826992,Clayton Street Manor,10687878,Julian,,Haight Ashbury,37.772827,-122.4498832,Private room,115,1,14,1/28/2017,0.83,2,0
7518636,Nice & Quiet Room in Haight Ashbury,39397801,Jasmine,,Haight Ashbury,37.7712649,-122.4512177,Private room,71,2,2,10/31/2015,0.08,1,59
2816626,Beautiful Victorian,6310896,Jenny,,Haight Ashbury,37.76835879,-122.4481167,Entire home/apt,320,3,6,7/29/2017,0.15,1,274
7666482,Zen Living 2bd/2ba in NOPA,12417372,Paul,,Haight Ashbury,37.77367566,-122.4456409,Entire home/apt,145,31,4,12/18/2015,0.15,1,0
18971467,"Modern Home for Daily Production, Off-Sites",102973,Brian,,Haight Ashbury,37.77496159,-122.4401722,Entire home/apt,1350,1,1,6/11/2017,0.26,1,359
5846018,BEAUTIFUL 3 BR Apt in Cole Valley,17529757,Neha,,Haight Ashbury,37.76649198,-122.4481342,Private room,100,14,0,,,1,0
13516315,SF Elegant Vacation Rental 2 beds/2 baths,34702719,Nathalie,,Haight Ashbury,37.76645577,-122.4517528,Entire home/apt,350,3,1,9/27/2017,1,1,116
10058568,Central San Francisco luxury,31021771,Ryan,,Haight Ashbury,37.76719266,-122.448238,Entire home/apt,215,30,4,2/16/2017,0.22,1,62
18431597,"Sunny, eclectic Haight-Ashbury 2-bedroom",12217784,Sara,,Haight Ashbury,37.77109492,-122.4440396,Entire home/apt,450,2,0,,,1,76
6653474,Extra-Large room in heart of Nopa,475974,Ari,,Haight Ashbury,37.77565845,-122.4406268,Private room,100,30,11,1/28/2017,0.4,2,0
4767720,Your SF Home with Deck Near Parks,262355,Lynn,,Haight Ashbury,37.77139189,-122.439812,Entire home/apt,195,1,13,4/9/2017,1.2,1,0
16088162,Fun bedroom in great area!,4694479,Kaitlyn,,Haight Ashbury,37.76388456,-122.4461002,Private room,95,1,19,8/31/2017,1.89,1,1
8781629,Ashbury Heights Studio with Deck,18069846,Renee,,Haight Ashbury,37.76807541,-122.4452056,Entire home/apt,150,2,15,5/9/2017,0.64,1,0
1721354,Flat & Garden in Historic Victorian,619278,Andrew,,Haight Ashbury,37.76813384,-122.4462902,Entire home/apt,389,2,12,8/12/2017,0.32,1,15
10043166,NEW 3-Bedroom SF Apartment,1821071,Ariel,,Haight Ashbury,37.76482709,-122.4513141,Entire home/apt,400,2,12,9/2/2017,0.6,2,0
8994562,Cozy Room in the heart of the city,10336506,Benjamin,,Haight Ashbury,37.7680682,-122.4496703,Private room,100,7,0,,,1,0
130775,Emergency happy room-sink/tv,21994,Aaron,,Haight Ashbury,37.76608594,-122.451262,Private room,65,32,10,8/6/2017,0.16,7,365
8142,Friendly Room Apartment Style,21994,Aaron,,Haight Ashbury,37.76487219,-122.451828,Private room,65,32,7,8/12/2017,0.19,7,365
11927222,"Bright, top floor, quiet one bed",2199651,Arthur,,Haight Ashbury,37.77436246,-122.4482737,Entire home/apt,125,3,0,,,1,0
19791513,Beautiful room in the heart of SF,110085420,Marie,,Haight Ashbury,37.76798671,-122.4455372,Private room,100,1,7,9/9/2017,2.88,3,174
6749830,2 BR Home in San Francisco,35340793,Monica,,Haight Ashbury,37.76084384,-122.4494055,Entire home/apt,500,3,7,1/2/2016,0.25,1,0
